Time (s),ADC (t),,,,,,,ADC (Blank):,2879,,,
0,2239.415,,,,,,,,,,,
360,2238.362,,,,,,,,,,,
720,2237.310,,,,,,,,,,,
1080,2236.258,,,,,,,OD initial:,0.11,,,
1440,2235.206,,,,,,,Dilution factor:,10000,,,
1800,2234.155,,,,,,,Volume spread on the plate:,0.1,mL,,
2160,2233.105,,,,,,,Cell culture volume:,3,mL,,
2520,2232.055,,,,,,,,,,,
2880,2231.005,,,,,,,,,,,
3240,2229.956,,,,,,,,,,,
3600,2228.908,,,,,,,,,,,
3960,2227.860,,,,,,,,,,,
4320,2226.812,,,,,,,,,,,
4680,2225.765,,,,,,,,,,,
5040,2224.718,,,,,,,,,,,
5400,2223.672,,,,,,,,,,,
5760,2222.627,,,,,,,,,,,
6120,2221.581,,,,,,,,,,,
6480,2220.537,,,,,,,,,,,
6840,2219.493,,,,,,,,,,,
7200,2218.449,,,,,,,,,,,
7560,2217.406,,,,,,,,,,,
7920,2216.363,,,,,,,,,,,
8280,2215.321,,,,,,,,,,,
8640,2214.279,,,,,,,,,,,
9000,2213.237,,,,,,,,,,,
9360,2212.197,,,,,,,,,,,
9720,2211.156,,,,,,,,,,,
10080,2210.116,,,,,,,,,,,
10440,2209.077,,,,,,,,,,,
10800,2208.038,,,,,,,,,,,
11160,2205.962,,,,,,,,,,,
11520,2203.369,,,,,,,,,,,
11880,2201.297,,,,,,,,,,,
12240,2198.192,,,,,,,,,,,
12600,2194.575,,,,,,,,,,,
12960,2189.934,,,,,,,,,,,
13320,2182.220,,,,,,,,,,,
13680,2177.091,,,,,,,,,,,
14040,2171.975,,,,,,,,,,,
14400,2159.236,,,,,,,,,,,
14760,2144.045,,,,,,,,,,,
15120,2111.489,,,,,,,,,,,
15480,2096.627,,,,,,,,,,,
15840,2076.970,,,,,,,,,,,
16200,2057.493,,,,,,,,,,,
16560,2023.838,,,,,,,,,,,
16920,1995.418,,,,,,,,,,,
17280,1967.389,,,,,,,,,,,
17640,1930.614,,,,,,,,,,,
18000,1885.588,,,,,,,,,,,
18360,1863.325,,,,,,,,,,,
18720,1832.044,,,,,,,,,,,
19080,1800.581,,,,,,,,,,,
19440,1768.947,,,,,,,,,,,
19800,1737.153,,,,,,,,,,,
20160,1705.211,,,,,,,,,,,
20520,1673.134,,,,,,,,,,,
20880,1640.934,,,,,,,,,,,
21240,1608.624,,,,,,,,,,,
21600,1576.219,,,,,,,,,,,
21960,1543.732,,,,,,,,,,,
22320,1511.178,,,,,,,,,,,
22680,1478.572,,,,,,,,,,,
23040,1445.930,,,,,,,,,,,
23400,1413.267,,,,,,,,,,,
23760,1380.600,,,,,,,,,,,
24120,1347.944,,,,,,,,,,,
24480,1315.318,,,,,,,,,,,
24840,1282.739,,,,,,,,,,,
25200,1250.224,,,,,,,,,,,
25560,1217.790,,,,,,,,,,,
25920,1185.458,,,,,,,,,,,
26280,1153.243,,,,,,,,,,,
26640,1121.167,,,,,,,,,,,
27000,1089.246,,,,,,,,,,,
27360,1057.501,,,,,,,,,,,
27720,1025.951,,,,,,,,,,,
28080,994.614,,,,,,,,,,,
28440,963.510,,,,,,,,,,,
28800,932.659,,,,,,,,,,,
29160,902.079,,,,,,,,,,,
29520,871.790,,,,,,,,,,,
29880,841.811,,,,,,,,,,,
30239.9999999999,812.161,,,,,,,,,,,
30599.9999999999,782.858,,,,,,,,,,,
30959.9999999999,753.922,,,,,,,,,,,
31319.9999999999,725.370,,,,,,,,,,,
31679.9999999999,697.220,,,,,,,,,,,
32039.9999999999,669.490,,,,,,,,,,,
32399.9999999999,642.197,,,,,,,,,,,
32759.9999999999,615.357,,,,,,,,,,,
33119.9999999999,588.987,,,,,,,,,,,
33479.9999999999,563.101,,,,,,,,,,,
33839.9999999999,537.715,,,,,,,,,,,
34199.9999999999,512.843,,,,,,,,,,,
34559.9999999999,488.498,,,,,,,,,,,
34919.9999999999,464.693,,,,,,,,,,,
35279.9999999999,441.440,,,,,,,,,,,
35639.9999999999,418.749,,,,,,,,,,,
35999.9999999999,396.631,,,,,,,,,,,
36359.9999999999,375.095,,,,,,,,,,,
36719.9999999999,354.148,,,,,,,,,,,
37079.9999999999,333.798,,,,,,,,,,,
37439.9999999999,314.052,,,,,,,,,,,
37799.9999999999,294.914,,,,,,,,,,,
38159.9999999999,276.388,,,,,,,,,,,
38519.9999999999,258.476,,,,,,,,,,,
38879.9999999999,241.182,,,,,,,,,,,
39239.9999999999,224.505,,,,,,,,,,,
39599.9999999999,208.444,,,,,,,,,,,
39959.9999999999,191.400,,,,,,,,,,,
40319.9999999999,180.198,,,,,,,,,,,
40679.9999999999,170.681,,,,,,,,,,,
41039.9999999999,164.062,,,,,,,,,,,
41399.9999999999,159.004,,,,,,,,,,,
41759.9999999999,154.921,,,,,,,,,,,
42119.9999999999,151.505,,,,,,,,,,,
42479.9999999999,148.571,,,,,,,,,,,
42839.9999999999,146.004,,,,,,,,,,,
43199.9999999999,143.724,,,,,,,,,,,
43559.9999999999,141.674,,,,,,,,,,,
43919.9999999999,139.814,,,,,,,,,,,
44279.9999999999,138.112,,,,,,,,,,,
44639.9999999999,136.551,,,,,,,,,,,
44999.9999999999,135.091,,,,,,,,,,,
45359.9999999999,133.738,,,,,,,,,,,
45719.9999999999,132.472,,,,,,,,,,,
46079.9999999999,131.284,,,,,,,,,,,
46439.9999999999,130.164,,,,,,,,,,,
46799.9999999999,129.105,,,,,,,,,,,
47159.9999999999,127.236,,,,,,,,,,,
47519.9999999999,127.199,,,,,,,,,,,
47879.9999999999,127.161,,,,,,,,,,,
48239.9999999999,127.123,,,,,,,,,,,
48599.9999999999,127.086,,,,,,,,,,,
48959.9999999999,127.048,,,,,,,,,,,
49319.9999999999,127.010,,,,,,,,,,,
49679.9999999999,126.973,,,,,,,,,,,
50039.9999999999,126.935,,,,,,,,,,,
50399.9999999999,126.897,,,,,,,,,,,
50759.9999999999,126.860,,,,,,,,,,,
51119.9999999999,126.822,,,,,,,,,,,
51479.9999999999,126.785,,,,,,,,,,,
51839.9999999999,126.747,,,,,,,,,,,
52199.9999999999,126.710,,,,,,,,,,,
52559.9999999999,126.672,,,,,,,,,,,
52919.9999999999,126.635,,,,,,,,,,,
53279.9999999999,126.597,,,,,,,,,,,
53639.9999999999,126.559,,,,,,,,,,,
53999.9999999999,126.522,,,,,,,,,,,
54359.9999999999,126.484,,,,,,,,,,,
54719.9999999999,126.447,,,,,,,,,,,
55079.9999999999,126.409,,,,,,,,,,,
55439.9999999999,126.372,,,,,,,,,,,
55799.9999999999,126.334,,,,,,,,,,,
56159.9999999999,126.297,,,,,,,,,,,
56519.9999999999,126.260,,,,,,,,,,,
56879.9999999999,126.222,,,,,,,,,,,
57239.9999999999,126.185,,,,,,,,,,,
57599.9999999999,126.147,,,,,,,,,,,
57959.9999999999,126.110,,,,,,,,,,,
58319.9999999999,126.072,,,,,,,,,,,
58679.9999999999,126.035,,,,,,,,,,,
59039.9999999999,125.997,,,,,,,,,,,
59399.9999999999,125.960,,,,,,,,,,,
59759.9999999999,125.923,,,,,,,,,,,
60119.9999999999,125.885,,,,,,,,,,,
60479.9999999999,125.848,,,,,,,,,,,
60839.9999999999,125.811,,,,,,,,,,,
61199.9999999999,125.773,,,,,,,,,,,
61559.9999999999,125.736,,,,,,,,,,,
61919.9999999999,125.699,,,,,,,,,,,
62279.9999999999,125.661,,,,,,,,,,,
62639.9999999999,125.624,,,,,,,,,,,
62999.9999999999,125.587,,,,,,,,,,,
63359.9999999999,125.549,,,,,,,,,,,
63719.9999999999,125.512,,,,,,,,,,,
64079.9999999999,125.475,,,,,,,,,,,
64439.9999999999,125.437,,,,,,,,,,,
64799.9999999999,125.400,,,,,,,,,,,
65160,125.363,,,,,,,,,,,
65520,125.326,,,,,,,,,,,
65880,125.288,,,,,,,,,,,
66240,125.251,,,,,,,,,,,
66600,125.214,,,,,,,,,,,
66960,125.177,,,,,,,,,,,
67320,125.139,,,,,,,,,,,
67680,125.102,,,,,,,,,,,
68040,125.065,,,,,,,,,,,
68400,125.028,,,,,,,,,,,
68760,124.991,,,,,,,,,,,
69120,124.953,,,,,,,,,,,
69480,124.916,,,,,,,,,,,
69840,124.879,,,,,,,,,,,
70200,124.842,,,,,,,,,,,
70560,124.805,,,,,,,,,,,
70920,124.768,,,,,,,,,,,
71280,124.730,,,,,,,,,,,
71640,124.693,,,,,,,,,,,
72000.0000000001,124.656,,,,,,,,,,,
72360.0000000001,124.619,,,,,,,,,,,
72720.0000000001,124.582,,,,,,,,,,,
73080.0000000001,124.545,,,,,,,,,,,
73440.0000000001,124.508,,,,,,,,,,,
73800.0000000001,124.471,,,,,,,,,,,
74160.0000000001,124.434,,,,,,,,,,,
74520.0000000001,124.397,,,,,,,,,,,
74880.0000000001,124.360,,,,,,,,,,,
75240.0000000001,124.323,,,,,,,,,,,
75600.0000000001,124.285,,,,,,,,,,,
