Time (s),ADC (t),,,,,,,,,ADC (Blank):,2911
0,2286.871,,,,,,,,,,
360,2285.818,,,,,,,,,,
720,2508.029,,,,,,,,,,
1080,2253.397,,,,,,,,,,
1440,1880.170,,,,,,,,,,
1800,2401.274,,,,,,,,,,
2160,2280.561,,,,,,,,,,
2520,2620.133,,,,,,,,,,
2880,2335.024,,,,,,,,,,
3240,2466.401,,,,,,,,,,
3600,2334.154,,,,,,,,,,
3960,1950.533,,,,,,,,,,
4320,2274.268,,,,,,,,,,
4680,2273.221,,,,,,,,,,
5040,2272.174,,,,,,,,,,
5400,2271.128,,,,,,,,,,
5760,2270.083,,,,,,,,,,
6120,2269.037,,,,,,,,,,
6480,2339.254,,,,,,,,,,
6840,2265.429,,,,,,,,,,
7200,2227.626,,,,,,,,,,
7560,1874.152,,,,,,,,,,
7920,2500.967,,,,,,,,,,
8280,2597.389,,,,,,,,,,
8640,2261.735,,,,,,,,,,
9000,2701.459,,,,,,,,,,
9360,2259.653,,,,,,,,,,
9720,2415.499,,,,,,,,,,
10080,2005.291,,,,,,,,,,
10440,2256.533,,,,,,,,,,
10800,2003.865,,,,,,,,,,
11160,2253.418,,,,,,,,,,
11520,2461.193,,,,,,,,,,
11880,2013.566,,,,,,,,,,
12240,2619.960,,,,,,,,,,
12600,2242.031,,,,,,,,,,
12960,1937.554,,,,,,,,,,
13320,2229.676,,,,,,,,,,
13680,2224.547,,,,,,,,,,
14040,2076.418,,,,,,,,,,
14400,2551.024,,,,,,,,,,
14760,2191.501,,,,,,,,,,
15120,1773.351,,,,,,,,,,
15480,2320.772,,,,,,,,,,
15840,1961.747,,,,,,,,,,
16200,2104.949,,,,,,,,,,
16560,2089.271,,,,,,,,,,
16920,2059.686,,,,,,,,,,
17280,2375.804,,,,,,,,,,
17640,2267.217,,,,,,,,,,
18000,1884.823,,,,,,,,,,
18360,1910.781,,,,,,,,,,
18720,1879.500,,,,,,,,,,
19080,2094.789,,,,,,,,,,
19440,1494.799,,,,,,,,,,
19800,2148.742,,,,,,,,,,
20160,1357.248,,,,,,,,,,
20520,1720.590,,,,,,,,,,
20880,1810.922,,,,,,,,,,
21240,1904.096,,,,,,,,,,
21600,1623.675,,,,,,,,,,
21960,1147.723,,,,,,,,,,
22320,1633.942,,,,,,,,,,
22680,1526.028,,,,,,,,,,
23040,1764.577,,,,,,,,,,
23400,1812.389,,,,,,,,,,
23760,1428.056,,,,,,,,,,
24120,1395.400,,,,,,,,,,
24480,1362.774,,,,,,,,,,
24840,1243.156,,,,,,,,,,
25200,1040.760,,,,,,,,,,
25560,1286.964,,,,,,,,,,
25920,1406.099,,,,,,,,,,
26280,1033.909,,,,,,,,,,
26640,1168.623,,,,,,,,,,
27000,1136.702,,,,,,,,,,
27360,823.140,,,,,,,,,,
27720,1214.501,,,,,,,,,,
28080,978.661,,,,,,,,,,
28440,1010.966,,,,,,,,,,
28800,844.802,,,,,,,,,,
29160,949.535,,,,,,,,,,
29520,919.246,,,,,,,,,,
29880,889.267,,,,,,,,,,
30239.9999999999,721.594,,,,,,,,,,
30599.9999999999,830.314,,,,,,,,,,
30959.9999999999,801.378,,,,,,,,,,
31319.9999999999,766.011,,,,,,,,,,
31679.9999999999,874.345,,,,,,,,,,
32039.9999999999,510.969,,,,,,,,,,
32399.9999999999,689.653,,,,,,,,,,
32759.9999999999,833.380,,,,,,,,,,
33119.9999999999,636.443,,,,,,,,,,
33479.9999999999,610.557,,,,,,,,,,
33839.9999999999,572.769,,,,,,,,,,
34199.9999999999,583.685,,,,,,,,,,
34559.9999999999,535.954,,,,,,,,,,
34919.9999999999,580.801,,,,,,,,,,
35279.9999999999,488.896,,,,,,,,,,
35639.9999999999,466.205,,,,,,,,,,
35999.9999999999,363.969,,,,,,,,,,
36359.9999999999,422.551,,,,,,,,,,
36719.9999999999,556.700,,,,,,,,,,
37079.9999999999,381.254,,,,,,,,,,
37439.9999999999,391.235,,,,,,,,,,
37799.9999999999,342.370,,,,,,,,,,
38159.9999999999,323.844,,,,,,,,,,
38519.9999999999,95.583,,,,,,,,,,
38879.9999999999,288.638,,,,,,,,,,
39239.9999999999,202.935,,,,,,,,,,
39599.9999999999,255.900,,,,,,,,,,
39959.9999999999,349.412,,,,,,,,,,
40319.9999999999,117.153,,,,,,,,,,
40679.9999999999,78.989,,,,,,,,,,
41039.9999999999,209.301,,,,,,,,,,
41399.9999999999,209.437,,,,,,,,,,
41759.9999999999,202.377,,,,,,,,,,
42119.9999999999,107.395,,,,,,,,,,
42479.9999999999,196.027,,,,,,,,,,
42839.9999999999,193.460,,,,,,,,,,
43199.9999999999,283.758,,,,,,,,,,
43559.9999999999,80.607,,,,,,,,,,
43919.9999999999,234.920,,,,,,,,,,
44279.9999999999,143.557,,,,,,,,,,
44639.9999999999,188.046,,,,,,,,,,
44999.9999999999,91.820,,,,,,,,,,
45359.9999999999,125.384,,,,,,,,,,
45719.9999999999,179.928,,,,,,,,,,
46079.9999999999,226.743,,,,,,,,,,
46439.9999999999,259.020,,,,,,,,,,
46799.9999999999,176.561,,,,,,,,,,
47159.9999999999,174.692,,,,,,,,,,
47519.9999999999,174.655,,,,,,,,,,
47879.9999999999,63.912,,,,,,,,,,
48239.9999999999,259.890,,,,,,,,,,
48599.9999999999,263.323,,,,,,,,,,
48959.9999999999,253.215,,,,,,,,,,
49319.9999999999,174.466,,,,,,,,,,
49679.9999999999,81.622,,,,,,,,,,
50039.9999999999,195.815,,,,,,,,,,
50399.9999999999,239.633,,,,,,,,,,
50759.9999999999,109.056,,,,,,,,,,
51119.9999999999,174.278,,,,,,,,,,
51479.9999999999,174.241,,,,,,,,,,
51839.9999999999,283.342,,,,,,,,,,
52199.9999999999,174.166,,,,,,,,,,
52559.9999999999,121.522,,,,,,,,,,
52919.9999999999,110.792,,,,,,,,,,
53279.9999999999,174.053,,,,,,,,,,
53639.9999999999,222.234,,,,,,,,,,
53999.9999999999,173.978,,,,,,,,,,
54359.9999999999,184.061,,,,,,,,,,
54719.9999999999,173.903,,,,,,,,,,
55079.9999999999,236.057,,,,,,,,,,
55439.9999999999,59.011,,,,,,,,,,
55799.9999999999,244.437,,,,,,,,,,
56159.9999999999,173.753,,,,,,,,,,
56519.9999999999,173.716,,,,,,,,,,
56879.9999999999,116.527,,,,,,,,,,
57239.9999999999,196.021,,,,,,,,,,
57599.9999999999,173.603,,,,,,,,,,
57959.9999999999,221.685,,,,,,,,,,
58319.9999999999,173.528,,,,,,,,,,
58679.9999999999,147.680,,,,,,,,,,
59039.9999999999,78.703,,,,,,,,,,
59399.9999999999,173.416,,,,,,,,,,
59759.9999999999,173.379,,,,,,,,,,
60119.9999999999,242.896,,,,,,,,,,
60479.9999999999,170.196,,,,,,,,,,
60839.9999999999,266.128,,,,,,,,,,
61199.9999999999,173.229,,,,,,,,,,
61559.9999999999,173.192,,,,,,,,,,
61919.9999999999,240.070,,,,,,,,,,
62279.9999999999,140.075,,,,,,,,,,
62639.9999999999,173.080,,,,,,,,,,
62999.9999999999,173.043,,,,,,,,,,
63359.9999999999,206.680,,,,,,,,,,
63719.9999999999,172.968,,,,,,,,,,
64079.9999999999,172.931,,,,,,,,,,
64439.9999999999,161.036,,,,,,,,,,
64799.9999999999,172.272,,,,,,,,,,
65160,262.097,,,,,,,,,,
65520,194.654,,,,,,,,,,
65880,172.744,,,,,,,,,,
66240,108.656,,,,,,,,,,
66600,172.670,,,,,,,,,,
66960,197.124,,,,,,,,,,
67320,237.503,,,,,,,,,,
67680,172.558,,,,,,,,,,
68040,250.024,,,,,,,,,,
68400,172.484,,,,,,,,,,
68760,166.205,,,,,,,,,,
69120,268.653,,,,,,,,,,
69480,172.372,,,,,,,,,,
69840,247.583,,,,,,,,,,
70200,80.209,,,,,,,,,,
70560,172.261,,,,,,,,,,
70920,55.684,,,,,,,,,,
71280,145.493,,,,,,,,,,
71640,216.368,,,,,,,,,,
72000.0000000001,172.112,,,,,,,,,,
72360.0000000001,195.762,,,,,,,,,,
72720.0000000001,281.876,,,,,,,,,,
73080.0000000001,172.001,,,,,,,,,,
73440.0000000001,230.499,,,,,,,,,,
73800.0000000001,147.100,,,,,,,,,,
74160.0000000001,171.890,,,,,,,,,,
74520.0000000001,119.045,,,,,,,,,,
74880.0000000001,264.853,,,,,,,,,,
75240.0000000001,171.779,,,,,,,,,,
75600.0000000001,181.797,,,,,,,,,,
75960.0000000001,171.704,,,,,,,,,,
76320.0000000001,57.956,,,,,,,,,,
76680.0000000001,102.135,,,,,,,,,,
77040.0000000001,171.593,,,,,,,,,,
77400.0000000001,128.046,,,,,,,,,,
77760.0000000001,171.519,,,,,,,,,,
78120.0000000001,171.482,,,,,,,,,,
78480.0000000001,99.413,,,,,,,,,,
78840.0000000001,122.484,,,,,,,,,,
79200.0000000002,200.195,,,,,,,,,,
79560.0000000002,152.761,,,,,,,,,,
79920.0000000002,226.329,,,,,,,,,,
80280.0000000002,171.261,,,,,,,,,,
80640.0000000002,60.036,,,,,,,,,,
81000.0000000002,85.518,,,,,,,,,,
81360.0000000002,171.150,,,,,,,,,,
81720.0000000002,156.258,,,,,,,,,,
82080.0000000002,129.889,,,,,,,,,,
82440.0000000002,276.727,,,,,,,,,,
82800.0000000002,168.282,,,,,,,,,,
83160.0000000002,182.201,,,,,,,,,,
83520.0000000002,72.327,,,,,,,,,,
83880.0000000002,69.547,,,,,,,,,,
84240.0000000002,206.971,,,,,,,,,,
84600.0000000002,89.291,,,,,,,,,,
84960.0000000002,217.324,,,,,,,,,,
85320.0000000002,268.080,,,,,,,,,,
85680.0000000002,170.708,,,,,,,,,,
86040.0000000002,276.309,,,,,,,,,,
86400.0000000003,170.634,,,,,,,,,,
